NOTA_CN,NOTA_MT,NOTA_LC,NOTA_CH,NOTA_REDACAO,nota_final
586.9,654.0,611.0,605.1,780.0,647.4
594.7,621.2,572.1,658.1,480.0,585.22
496.0,550.2,536.1,605.9,600.0,557.6400000000001
561.9,727.5,542.8,639.2,820.0,658.28
424.8,477.0,487.1,453.0,460.0,460.38
487.8,574.2,594.4,605.5,640.0,580.38
591.4,591.5,552.3,612.8,680.0,605.6
423.7,436.4,511.4,589.1,500.0,492.12
588.0,607.9,494.3,561.8,640.0,578.4
477.4,491.8,526.1,539.2,800.0,566.9
407.8,483.9,455.3,577.2,580.0,500.84
448.6,651.4,536.1,589.8,760.0,597.18
389.6,525.0,414.1,394.5,520.0,448.64
611.7,725.5,626.5,619.6,720.0,660.6600000000001
369.7,452.1,452.1,422.8,520.0,443.34
525.4,499.8,526.6,589.4,700.0,568.24
580.1,597.3,535.6,614.1,760.0,617.42
457.5,390.4,387.9,460.3,460.0,431.21999999999997
453.6,571.0,484.0,529.7,380.0,483.66
614.5,795.5,591.8,659.8,680.0,668.3199999999999
412.5,635.2,519.6,555.0,540.0,532.46
565.0,599.3,566.6,606.1,680.0,603.4
482.6,482.1,521.4,545.5,820.0,570.3199999999999
404.9,557.7,474.7,525.5,600.0,512.5600000000001
480.4,430.5,617.7,632.7,600.0,552.26
468.1,387.2,426.3,471.2,520.0,454.56000000000006
416.9,399.0,515.4,467.0,800.0,519.6600000000001
484.5,395.6,560.6,596.2,620.0,531.38
633.2,735.2,644.8,686.1,780.0,695.86
533.0,677.2,618.5,633.6,560.0,604.46
510.1,648.1,580.1,589.9,580.0,581.6400000000001
429.1,501.0,536.4,481.6,600.0,509.62
513.6,575.9,567.4,592.0,660.0,581.78
383.4,433.3,365.6,371.0,420.0,394.66
604.8,679.9,611.0,648.2,440.0,596.78
626.2,671.8,590.1,611.3,620.0,623.8799999999999
585.5,523.4,539.1,600.8,600.0,569.76
572.9,510.1,554.9,609.8,420.0,533.54
492.2,454.9,452.4,367.8,600.0,473.46000000000004
683.0,723.3,551.5,637.2,960.0,711.0
446.9,590.3,527.5,399.8,720.0,536.9
411.6,425.7,484.6,516.9,0.0,367.76000000000005
470.3,427.1,577.8,494.2,680.0,529.88
405.3,449.7,539.5,525.0,0.0,383.9
576.7,579.9,571.8,593.1,680.0,600.3
631.4,778.4,652.0,716.9,860.0,727.74
562.9,531.2,563.7,595.8,600.0,570.72
590.1,607.8,584.9,635.9,780.0,639.74
422.0,436.2,483.1,345.9,560.0,449.44000000000005
398.1,411.0,423.1,431.8,580.0,448.8
402.7,370.1,419.5,507.8,660.0,472.02
536.0,640.1,487.9,532.1,480.0,535.22
499.4,550.3,524.0,483.9,580.0,527.52
377.3,473.6,435.2,516.2,840.0,528.46
362.5,493.7,440.5,514.7,800.0,522.28
483.6,394.9,486.1,483.2,660.0,501.56000000000006
449.0,411.0,483.7,575.2,640.0,511.78000000000003
531.3,540.5,531.5,535.9,620.0,551.8399999999999
566.6,493.9,617.5,650.8,620.0,589.76
354.4,557.9,461.0,380.1,560.0,462.68
428.5,437.1,493.2,510.3,600.0,493.82
501.4,516.2,477.3,511.2,700.0,541.22
633.0,702.1,586.4,655.6,640.0,643.42
513.7,589.1,468.3,525.5,820.0,583.32
484.3,507.6,569.6,610.0,880.0,610.3
488.3,558.5,464.2,601.7,660.0,554.54
601.6,802.2,694.2,692.5,800.0,718.1
439.5,479.9,558.9,413.9,540.0,486.43999999999994
508.8,533.7,515.8,594.1,580.0,546.48
541.4,639.6,523.7,534.5,660.0,579.8399999999999
510.8,667.3,498.4,605.0,880.0,632.3
464.2,565.5,520.3,564.2,580.0,538.8399999999999
409.2,387.1,388.8,484.9,660.0,466.0
470.7,425.6,469.8,468.5,480.0,462.91999999999996
631.5,651.8,641.0,631.1,900.0,691.08
483.4,398.5,506.6,587.4,660.0,527.1800000000001
548.9,549.4,551.4,557.0,680.0,577.3399999999999
547.3,617.6,562.1,510.8,660.0,579.5600000000001
428.0,603.6,499.9,483.7,480.0,499.03999999999996
470.6,452.6,522.1,352.4,580.0,475.5400000000001
598.1,711.0,544.3,574.2,780.0,641.52
619.2,701.6,611.6,653.4,880.0,693.1600000000001
520.7,584.7,540.6,587.1,800.0,606.62
607.1,764.2,608.0,683.1,720.0,676.48
471.0,630.7,548.9,526.1,560.0,547.3399999999999
427.8,544.3,518.3,505.0,460.0,491.0799999999999
357.3,487.7,420.6,384.7,680.0,466.06000000000006
443.1,587.2,468.6,474.5,720.0,538.6800000000001
591.9,659.2,646.2,665.0,840.0,680.46
620.8,746.7,607.9,662.8,820.0,691.64
565.4,680.4,531.5,566.1,780.0,624.6800000000001
465.7,443.8,427.8,504.5,620.0,492.36
630.0,797.4,590.8,562.3,660.0,648.1
500.1,590.3,518.7,559.0,620.0,557.6200000000001
433.1,569.2,517.8,446.1,460.0,485.23999999999995
511.8,431.6,481.8,547.8,720.0,538.6
507.9,576.2,440.5,473.7,600.0,519.6600000000001
448.8,424.9,465.2,491.9,600.0,486.16
396.7,633.9,583.3,573.0,720.0,581.3799999999999
416.6,420.4,514.6,472.4,500.0,464.8
373.7,655.8,498.3,441.0,740.0,541.76
556.7,622.1,546.6,569.7,680.0,595.0200000000001
580.5,620.5,582.3,647.1,780.0,642.08
474.3,540.5,486.2,376.8,800.0,535.5600000000001
728.9,806.3,633.4,714.2,880.0,752.5600000000001
388.7,582.2,455.7,431.5,620.0,495.62000000000006
446.4,497.7,452.9,445.6,780.0,524.52
588.4,602.3,606.0,659.0,680.0,627.14
405.3,499.7,449.1,493.3,560.0,481.4799999999999
486.5,541.1,557.9,574.6,960.0,624.02
502.8,403.1,452.3,521.0,660.0,507.84
527.0,574.2,565.7,551.0,600.0,563.58
485.3,539.2,499.0,567.9,780.0,574.28
550.4,593.4,556.1,597.5,840.0,627.48
470.3,615.8,508.0,542.5,600.0,547.3199999999999
450.9,467.0,565.5,599.3,320.0,480.53999999999996
638.0,702.0,589.2,599.1,840.0,673.6600000000001
617.7,678.7,576.5,601.5,740.0,642.88
549.4,728.8,541.0,618.0,860.0,659.4399999999999
575.0,710.1,537.5,490.4,740.0,610.6
415.9,425.7,532.7,666.0,620.0,532.0600000000001
454.9,463.7,466.9,553.1,540.0,495.71999999999997
400.2,507.1,524.0,473.6,620.0,504.98
427.1,536.4,424.3,512.5,560.0,492.06000000000006
487.2,673.5,588.2,601.5,640.0,598.08
499.5,584.2,545.7,592.9,740.0,592.46
359.0,570.8,539.6,565.8,720.0,551.04
437.9,436.5,437.1,553.3,780.0,528.96
