TP_FAIXA_ETARIA,SEXO,TP_COR_RACA,TP_ESCOLA,MUNIC_ESCOLA,SG_UF_ESC,NO_MUNICIPIO_PROVA,UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,NOTA_REDACAO,nota_final
20 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,592.2,585.0,560.3,692.6,720.0,630.0200000000001
18 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,403.8,359.2,364.7,446.9,520.0,418.9200000000001
17 anos,M,Branco,Pública,São Bernardo do Campo,SP,Santo André,SP,1,1,1,1,587.4,656.6,590.0,732.7,860.0,685.3399999999999
20 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,506.6,610.4,580.0,661.0,780.0,627.6
19 anos,F,Amarelo,Não respondeu,,,Santo André,SP,1,1,1,1,507.6,493.6,431.5,435.0,460.0,465.53999999999996
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,371.9,435.1,397.3,565.4,520.0,457.93999999999994
18 anos,M,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,619.8,633.5,619.6,704.9,700.0,655.56
17 anos,F,Preto,Privada,Santo André,SP,Santo André,SP,1,1,1,1,516.0,531.6,600.3,557.0,840.0,608.98
17 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,436.2,453.9,456.7,487.8,800.0,526.92
18 anos,F,Preto,Pública,Santo André,SP,Santo André,SP,1,1,1,1,491.7,521.2,531.0,450.2,660.0,530.82
17 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,488.3,600.2,588.4,675.0,660.0,602.3799999999999
19 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,546.5,593.4,489.8,568.4,780.0,595.62
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,366.6,455.5,445.7,498.4,520.0,457.23999999999995
